name,version,variant,arch,os,filename,date,size,checksum,integrity
njs,0.7.7,,aarch64,linux,njs-0.7.7-aarch64-linux,2022-09-04T02:53:23Z,2958216,sha1:5a2022f56a55edd1647bc9e7152c9925d315e3bb,sha1-5a2022f56a55edd1647bc9e7152c9925d315e3bb
njs,0.7.7,,armv7l,linux,njs-0.7.7-armv7l-linux,2022-09-04T02:53:23Z,2122760,sha1:7bcfa42481f07fb7c1793df4aba8cf474b91877e,sha1-7bcfa42481f07fb7c1793df4aba8cf474b91877e
njs,0.7.7,debug,aarch64,linux,njs-0.7.7-debug-aarch64-linux,2022-09-04T02:53:23Z,14292488,sha1:f65d992b362e08ef8b0a2ac7f3a5473f64604ee9,sha1-f65d992b362e08ef8b0a2ac7f3a5473f64604ee9
njs,0.7.7,debug,armv7l,linux,njs-0.7.7-debug-armv7l-linux,2022-09-04T02:53:23Z,11510044,sha1:9d1b06e3b1d8b6fb48098ecaeca31297b77d9c36,sha1-9d1b06e3b1d8b6fb48098ecaeca31297b77d9c36
njs,0.7.7,debug,ppc64le,linux,njs-0.7.7-debug-ppc64le-linux,2022-09-04T02:53:24Z,14105360,sha1:d43d6884a4d7564b6d4f062bece0669ecff55453,sha1-d43d6884a4d7564b6d4f062bece0669ecff55453
njs,0.7.7,debug,x86_64,darwin,njs-0.7.7-debug-x86_64-darwin,2022-10-16T03:10:06Z,3765128,sha1:abce6b09e27e784e33fc193b868d8cbb8ed248db,sha1-abce6b09e27e784e33fc193b868d8cbb8ed248db
njs,0.7.7,debug,x86_64,linux,njs-0.7.7-debug-x86_64-linux,2022-09-04T02:53:24Z,14351840,sha1:de80646b7b0a0754952f069d8b10bba14167ecf3,sha1-de80646b7b0a0754952f069d8b10bba14167ecf3
njs,0.7.7,,ppc64le,linux,njs-0.7.7-ppc64le-linux,2022-09-04T02:53:24Z,3397168,sha1:d9d347a92b4c66b5944c5817a73dac75683e11ff,sha1-d9d347a92b4c66b5944c5817a73dac75683e11ff
njs,0.7.7,,x86_64,darwin,njs-0.7.7-x86_64-darwin,2022-10-16T03:10:08Z,3233328,sha1:d238746a9a7c329639267304e66a22854063a8d9,sha1-d238746a9a7c329639267304e66a22854063a8d9
njs,0.7.7,,x86_64,linux,njs-0.7.7-x86_64-linux,2022-09-04T02:53:25Z,3233928,sha1:211b3c8447a6b7d945f5d425d4702628bf0e3884,sha1-211b3c8447a6b7d945f5d425d4702628bf0e3884
njs,0.7.8,,aarch64,linux,njs-0.7.8-aarch64-linux,2022-11-13T02:27:47Z,2970632,sha1:a485a292d19230c8ae91e1c667225494062f54e5,sha1-a485a292d19230c8ae91e1c667225494062f54e5
njs,0.7.8,,armv7l,linux,njs-0.7.8-armv7l-linux,2022-11-13T02:27:47Z,2126920,sha1:2c7ace4a87033c23b9ccf3fdbf9892951f8938be,sha1-2c7ace4a87033c23b9ccf3fdbf9892951f8938be
njs,0.7.8,debug,aarch64,linux,njs-0.7.8-debug-aarch64-linux,2022-11-13T02:27:47Z,14337400,sha1:379b8b4cc3c896de705fbe456638b8835227ea8b,sha1-379b8b4cc3c896de705fbe456638b8835227ea8b
njs,0.7.8,debug,armv7l,linux,njs-0.7.8-debug-armv7l-linux,2022-11-13T02:27:47Z,11544216,sha1:2896f01dc748e521c46d4de091314f00ee978c04,sha1-2896f01dc748e521c46d4de091314f00ee978c04
njs,0.7.8,debug,ppc64le,linux,njs-0.7.8-debug-ppc64le-linux,2022-11-13T02:27:48Z,14142888,sha1:397e050b591ad8763b99dfa1c0399b977f9ce074,sha1-397e050b591ad8763b99dfa1c0399b977f9ce074
njs,0.7.8,debug,x86_64,darwin,njs-0.7.8-debug-x86_64-darwin,2022-10-30T02:54:38Z,3767176,sha1:fb5bcd294b7ad3f481ad674e32b4f3386b69314f,sha1-fb5bcd294b7ad3f481ad674e32b4f3386b69314f
njs,0.7.8,debug,x86_64,linux,njs-0.7.8-debug-x86_64-linux,2022-11-13T02:27:48Z,14395736,sha1:112e7c9884bfe8e17b38b3c9ebb2715ef5c65678,sha1-112e7c9884bfe8e17b38b3c9ebb2715ef5c65678
njs,0.7.8,,ppc64le,linux,njs-0.7.8-ppc64le-linux,2022-11-13T02:27:48Z,3397296,sha1:f196744bbb9738a9b41abb361687f5c94e1f3039,sha1-f196744bbb9738a9b41abb361687f5c94e1f3039
njs,0.7.8,,x86_64,darwin,njs-0.7.8-x86_64-darwin,2022-10-30T02:54:39Z,3249768,sha1:f275490dd67294826e6c11431370522b47df70a7,sha1-f275490dd67294826e6c11431370522b47df70a7
njs,0.7.8,,x86_64,linux,njs-0.7.8-x86_64-linux,2022-11-13T02:27:49Z,3242248,sha1:044d48b2da2eb8aec23c1a9ff64cb19409ccf153,sha1-044d48b2da2eb8aec23c1a9ff64cb19409ccf153
njs,0.7.9,,aarch64,linux,njs-0.7.9-aarch64-linux,2022-11-20T02:29:16Z,2970520,sha1:cf60637793beec6e7725c8ccbc1795f0188c5fd3,sha1-cf60637793beec6e7725c8ccbc1795f0188c5fd3
njs,0.7.9,,armv7l,linux,njs-0.7.9-armv7l-linux,2022-11-20T02:29:16Z,2122744,sha1:31b58581fe1cccee7fe7729799596ef3bb6b5af9,sha1-31b58581fe1cccee7fe7729799596ef3bb6b5af9
njs,0.7.9,debug,aarch64,linux,njs-0.7.9-debug-aarch64-linux,2022-11-20T02:29:16Z,14553104,sha1:935b2090827a502a2897ffbde45be7530dc801a9,sha1-935b2090827a502a2897ffbde45be7530dc801a9
njs,0.7.9,debug,armv7l,linux,njs-0.7.9-debug-armv7l-linux,2022-11-20T02:29:16Z,11690008,sha1:9eb0e75e9ef679bd2b2e5884699956a55ebee681,sha1-9eb0e75e9ef679bd2b2e5884699956a55ebee681
njs,0.7.9,debug,ppc64le,linux,njs-0.7.9-debug-ppc64le-linux,2022-11-20T02:29:17Z,14348736,sha1:14099b765266b61bc5e4e0379a4554e3ad3d98ca,sha1-14099b765266b61bc5e4e0379a4554e3ad3d98ca
njs,0.7.9,debug,x86_64,darwin,njs-0.7.9-debug-x86_64-darwin,2023-01-22T02:08:57Z,4753688,sha1:5124e94fec0f1946fa129d537b28158f486a7434,sha1-5124e94fec0f1946fa129d537b28158f486a7434
njs,0.7.9,debug,x86_64,linux,njs-0.7.9-debug-x86_64-linux,2022-11-20T02:29:17Z,14619888,sha1:272009310169e59efb0a83481b524a65efc957df,sha1-272009310169e59efb0a83481b524a65efc957df
njs,0.7.9,,ppc64le,linux,njs-0.7.9-ppc64le-linux,2022-11-20T02:29:17Z,3397168,sha1:3b8279977da7fd9f1554636a291f22f6abf84631,sha1-3b8279977da7fd9f1554636a291f22f6abf84631
njs,0.7.9,,x86_64,darwin,njs-0.7.9-x86_64-darwin,2023-01-22T02:08:58Z,4040768,sha1:414e850e4379a4a4f995e2b6ebe8a0ab7e2bb338,sha1-414e850e4379a4a4f995e2b6ebe8a0ab7e2bb338
njs,0.7.9,,x86_64,linux,njs-0.7.9-x86_64-linux,2022-11-20T02:29:18Z,3242184,sha1:48bb274d3b6d0cc40b911fe6feb9e0ee394c5f5e,sha1-48bb274d3b6d0cc40b911fe6feb9e0ee394c5f5e
